,Unnamed: 0,rank,artist,country
0,0,1,Lana Del Rey,Jordan
1,1,2,Pink Floyd,Jordan
2,2,3,Queen,Jordan
3,3,4,Coldplay,Jordan
4,4,5,The Weeknd,Jordan
5,5,6,Sia,Jordan
6,6,7,Eminem,Jordan
7,7,8,David Bowie,Jordan
8,8,9,Adele,Jordan
9,9,10,Radiohead,Jordan
10,10,11,Metallica,Jordan
11,11,12,The Rolling Stones,Jordan
12,12,13,The Beatles,Jordan
13,13,14,Ed Sheeran,Jordan
14,14,15,Led Zeppelin,Jordan
15,15,16,Red Hot Chili Peppers,Jordan
16,16,17,Rihanna,Jordan
17,17,18,Nirvana,Jordan
18,18,19,Tame Impala,Jordan
19,19,20,Beyoncé,Jordan
20,20,21,Drake,Jordan
21,21,22,Kendrick Lamar,Jordan
22,22,23,Michael Jackson,Jordan
23,23,24,Florence + the Machine,Jordan
24,24,25,Bob Dylan,Jordan
25,25,26,Maroon 5,Jordan
26,26,27,Imagine Dragons,Jordan
27,27,28,Guns N' Roses,Jordan
28,28,29,Lorde,Jordan
29,29,30,Black Sabbath,Jordan
30,30,31,Arctic Monkeys,Jordan
31,31,32,Daft Punk,Jordan
32,32,33,System of a Down,Jordan
33,33,34,Kanye West,Jordan
34,34,35,Taylor Swift,Jordan
35,35,36,Ariana Grande,Jordan
36,36,37,Gorillaz,Jordan
37,37,38,Katy Perry,Jordan
38,38,39,The xx,Jordan
39,39,40,AC/DC,Jordan
40,40,41,Calvin Harris,Jordan
41,41,42,Twenty One Pilots,Jordan
42,42,43,Hozier,Jordan
43,43,44,Fairuz,Jordan
44,44,45,The Doors,Jordan
45,45,46,Johnny Cash,Jordan
46,46,47,R.E.M.,Jordan
47,47,48,Frank Sinatra,Jordan
48,48,49,Muse,Jordan
49,49,50,Lady Gaga,Jordan
0,0,1,The Beatles,Cuba
1,1,2,Nirvana,Cuba
2,2,3,Daft Punk,Cuba
3,3,4,U2,Cuba
4,4,5,Sia,Cuba
5,5,6,Fleetwood Mac,Cuba
6,6,7,Justin Timberlake,Cuba
7,7,8,Elton John,Cuba
8,8,9,The Police,Cuba
9,9,10,Jason Derülo,Cuba
10,10,11,Cardi B,Cuba
11,11,12,Arctic Monkeys,Cuba
12,12,13,Coldplay,Cuba
13,13,14,Kanye West,Cuba
14,14,15,Lana Del Rey,Cuba
15,15,16,Red Hot Chili Peppers,Cuba
16,16,17,Eminem,Cuba
17,17,18,Ariana Grande,Cuba
18,18,19,The Killers,Cuba
19,19,20,Foo Fighters,Cuba
20,20,21,Arcade Fire,Cuba
21,21,22,Nine Inch Nails,Cuba
22,22,23,The Cure,Cuba
23,23,24,The Rolling Stones,Cuba
24,24,25,Queens of the Stone Age,Cuba
25,25,26,Pearl Jam,Cuba
26,26,27,The Doors,Cuba
27,27,28,Ed Sheeran,Cuba
28,28,29,The Smashing Pumpkins,Cuba
29,29,30,The Weeknd,Cuba
30,30,31,Marilyn Manson,Cuba
31,31,32,The White Stripes,Cuba
32,32,33,Weezer,Cuba
33,33,34,Black Sabbath,Cuba
34,34,35,David Guetta,Cuba
35,35,36,R.E.M.,Cuba
36,36,37,Rage Against the Machine,Cuba
37,37,38,Beastie Boys,Cuba
38,38,39,Selena Gomez,Cuba
39,39,40,Creedence Clearwater Revival,Cuba
40,40,41,Dua Lipa,Cuba
41,41,42,Disclosure,Cuba
42,42,43,Future,Cuba
43,43,44,The Chainsmokers,Cuba
44,44,45,Paul McCartney,Cuba
45,45,46,Fatboy Slim,Cuba
46,46,47,Lenny Kravitz,Cuba
47,47,48,Charlie Puth,Cuba
48,48,49,Rosalía,Cuba
49,49,50,The Jackson 5,Cuba
0,0,1,Radiohead,Australia
1,1,2,David Bowie,Australia
2,2,3,Kanye West,Australia
3,3,4,Coldplay,Australia
4,4,5,Tame Impala,Australia
5,5,6,Daft Punk,Australia
6,6,7,Queen,Australia
7,7,8,The Beatles,Australia
8,8,9,Drake,Australia
9,9,10,The Weeknd,Australia
10,10,11,Kendrick Lamar,Australia
11,11,12,Sia,Australia
12,12,13,Fleetwood Mac,Australia
13,13,14,Flume,Australia
14,14,15,Red Hot Chili Peppers,Australia
15,15,16,Calvin Harris,Australia
16,16,17,Michael Jackson,Australia
17,17,18,Lana Del Rey,Australia
18,18,19,Gorillaz,Australia
19,19,20,The Killers,Australia
20,20,21,Nirvana,Australia
21,21,22,Rihanna,Australia
22,22,23,The Cure,Australia
23,23,24,The Rolling Stones,Australia
24,24,25,Lorde,Australia
25,25,26,The Smashing Pumpkins,Australia
26,26,27,Florence + the Machine,Australia
27,27,28,Major Lazer,Australia
28,28,29,Bon Iver,Australia
29,29,30,The xx,Australia
30,30,31,Ed Sheeran,Australia
31,31,32,Disclosure,Australia
32,32,33,Foo Fighters,Australia
33,33,34,Beck,Australia
34,34,35,Arctic Monkeys,Australia
35,35,36,Eminem,Australia
36,36,37,Adele,Australia
37,37,38,Elton John,Australia
38,38,39,OutKast,Australia
39,39,40,Childish Gambino,Australia
40,40,41,Beyoncé,Australia
41,41,42,Pink Floyd,Australia
42,42,43,Arcade Fire,Australia
43,43,44,blink-182,Australia
44,44,45,Led Zeppelin,Australia
45,45,46,Mark Ronson,Australia
46,46,47,alt-J,Australia
47,47,48,MGMT,Australia
48,48,49,Justin Bieber,Australia
49,49,50,Ariana Grande,Australia
0,0,1,Coldplay,Netherlands
1,1,2,David Bowie,Netherlands
2,2,3,Queen,Netherlands
3,3,4,Radiohead,Netherlands
4,4,5,The Beatles,Netherlands
5,5,6,The Rolling Stones,Netherlands
6,6,7,Ed Sheeran,Netherlands
7,7,8,Fleetwood Mac,Netherlands
8,8,9,Red Hot Chili Peppers,Netherlands
9,9,10,Michael Jackson,Netherlands
10,10,11,Adele,Netherlands
11,11,12,Daft Punk,Netherlands
12,12,13,Calvin Harris,Netherlands
13,13,14,Muse,Netherlands
14,14,15,U2,Netherlands
15,15,16,The Weeknd,Netherlands
16,16,17,Rihanna,Netherlands
17,17,18,Major Lazer,Netherlands
18,18,19,Sia,Netherlands
19,19,20,Bruce Springsteen,Netherlands
20,20,21,Nirvana,Netherlands
21,21,22,Pink Floyd,Netherlands
22,22,23,John Mayer,Netherlands
23,23,24,Stevie Wonder,Netherlands
24,24,25,Johnny Cash,Netherlands
25,25,26,Arctic Monkeys,Netherlands
26,26,27,Foo Fighters,Netherlands
27,27,28,Bob Dylan,Netherlands
28,28,29,Drake,Netherlands
29,29,30,Dire Straits,Netherlands
30,30,31,Justin Bieber,Netherlands
31,31,32,Gorillaz,Netherlands
32,32,33,Marvin Gaye,Netherlands
33,33,34,Imagine Dragons,Netherlands
34,34,35,Elvis Presley,Netherlands
35,35,36,The Cure,Netherlands
36,36,37,Tame Impala,Netherlands
37,37,38,Kygo,Netherlands
38,38,39,Maroon 5,Netherlands
39,39,40,De Jeugd van Tegenwoordig,Netherlands
40,40,41,Mumford & Sons,Netherlands
41,41,42,David Guetta,Netherlands
42,42,43,R.E.M.,Netherlands
43,43,44,Justin Timberlake,Netherlands
44,44,45,Ariana Grande,Netherlands
45,45,46,Elton John,Netherlands
46,46,47,Avicii,Netherlands
47,47,48,Led Zeppelin,Netherlands
48,48,49,The Beach Boys,Netherlands
49,49,50,Kings of Leon,Netherlands
0,0,1,Radiohead,Spain
1,1,2,David Bowie,Spain
2,2,3,Kanye West,Spain
3,3,4,Coldplay,Spain
4,4,5,Tame Impala,Spain
5,5,6,Daft Punk,Spain
6,6,7,Queen,Spain
7,7,8,The Beatles,Spain
8,8,9,Drake,Spain
9,9,10,The Weeknd,Spain
10,10,11,Kendrick Lamar,Spain
11,11,12,Sia,Spain
12,12,13,Fleetwood Mac,Spain
13,13,14,Flume,Spain
14,14,15,Red Hot Chili Peppers,Spain
15,15,16,Calvin Harris,Spain
16,16,17,Michael Jackson,Spain
17,17,18,Lana Del Rey,Spain
18,18,19,Gorillaz,Spain
19,19,20,The Killers,Spain
20,20,21,Nirvana,Spain
21,21,22,Rihanna,Spain
22,22,23,The Cure,Spain
23,23,24,The Rolling Stones,Spain
24,24,25,Lorde,Spain
25,25,26,The Smashing Pumpkins,Spain
26,26,27,Florence + the Machine,Spain
27,27,28,Major Lazer,Spain
28,28,29,Bon Iver,Spain
29,29,30,The xx,Spain
30,30,31,Ed Sheeran,Spain
31,31,32,Disclosure,Spain
