,rank,artist,country
0,1,Radiohead,Australia
1,2,David Bowie,Australia
2,3,Kanye West,Australia
3,4,Coldplay,Australia
4,5,Tame Impala,Australia
5,6,Daft Punk,Australia
6,7,Queen,Australia
7,8,The Beatles,Australia
8,9,Drake,Australia
9,10,The Weeknd,Australia
10,11,Kendrick Lamar,Australia
11,12,Sia,Australia
12,13,Fleetwood Mac,Australia
13,14,Flume,Australia
14,15,Red Hot Chili Peppers,Australia
15,16,Calvin Harris,Australia
16,17,Michael Jackson,Australia
17,18,Lana Del Rey,Australia
18,19,Gorillaz,Australia
19,20,The Killers,Australia
20,21,Nirvana,Australia
21,22,Rihanna,Australia
22,23,The Cure,Australia
23,24,The Rolling Stones,Australia
24,25,Lorde,Australia
25,26,The Smashing Pumpkins,Australia
26,27,Florence + the Machine,Australia
27,28,Major Lazer,Australia
28,29,Bon Iver,Australia
29,30,The xx,Australia
30,31,Ed Sheeran,Australia
31,32,Disclosure,Australia
32,33,Foo Fighters,Australia
33,34,Beck,Australia
34,35,Arctic Monkeys,Australia
35,36,Eminem,Australia
36,37,Adele,Australia
37,38,Elton John,Australia
38,39,OutKast,Australia
39,40,Childish Gambino,Australia
40,41,Beyoncé,Australia
41,42,Pink Floyd,Australia
42,43,Arcade Fire,Australia
43,44,blink-182,Australia
44,45,Led Zeppelin,Australia
45,46,Mark Ronson,Australia
46,47,alt-J,Australia
47,48,MGMT,Australia
48,49,Justin Bieber,Australia
49,50,Ariana Grande,Australia
