,rank,artist,country
0,1,Lana Del Rey,Jordan
1,2,Pink Floyd,Jordan
2,3,Queen,Jordan
3,4,Coldplay,Jordan
4,5,The Weeknd,Jordan
5,6,Sia,Jordan
6,7,Eminem,Jordan
7,8,David Bowie,Jordan
8,9,Adele,Jordan
9,10,Radiohead,Jordan
10,11,Metallica,Jordan
11,12,The Rolling Stones,Jordan
12,13,The Beatles,Jordan
13,14,Ed Sheeran,Jordan
14,15,Led Zeppelin,Jordan
15,16,Red Hot Chili Peppers,Jordan
16,17,Rihanna,Jordan
17,18,Nirvana,Jordan
18,19,Tame Impala,Jordan
19,20,Beyoncé,Jordan
20,21,Drake,Jordan
21,22,Kendrick Lamar,Jordan
22,23,Michael Jackson,Jordan
23,24,Florence + the Machine,Jordan
24,25,Bob Dylan,Jordan
25,26,Maroon 5,Jordan
26,27,Imagine Dragons,Jordan
27,28,Guns N' Roses,Jordan
28,29,Lorde,Jordan
29,30,Black Sabbath,Jordan
30,31,Arctic Monkeys,Jordan
31,32,Daft Punk,Jordan
32,33,System of a Down,Jordan
33,34,Kanye West,Jordan
34,35,Taylor Swift,Jordan
35,36,Ariana Grande,Jordan
36,37,Gorillaz,Jordan
37,38,Katy Perry,Jordan
38,39,The xx,Jordan
39,40,AC/DC,Jordan
40,41,Calvin Harris,Jordan
41,42,Twenty One Pilots,Jordan
42,43,Hozier,Jordan
43,44,Fairuz,Jordan
44,45,The Doors,Jordan
45,46,Johnny Cash,Jordan
46,47,R.E.M.,Jordan
47,48,Frank Sinatra,Jordan
48,49,Muse,Jordan
49,50,Lady Gaga,Jordan
