,rank,artist,country
0,1,Radiohead,Spain
1,2,David Bowie,Spain
2,3,Kanye West,Spain
3,4,Coldplay,Spain
4,5,Tame Impala,Spain
5,6,Daft Punk,Spain
6,7,Queen,Spain
7,8,The Beatles,Spain
8,9,Drake,Spain
9,10,The Weeknd,Spain
10,11,Kendrick Lamar,Spain
11,12,Sia,Spain
12,13,Fleetwood Mac,Spain
13,14,Flume,Spain
14,15,Red Hot Chili Peppers,Spain
15,16,Calvin Harris,Spain
16,17,Michael Jackson,Spain
17,18,Lana Del Rey,Spain
18,19,Gorillaz,Spain
19,20,The Killers,Spain
20,21,Nirvana,Spain
21,22,Rihanna,Spain
22,23,The Cure,Spain
23,24,The Rolling Stones,Spain
24,25,Lorde,Spain
25,26,The Smashing Pumpkins,Spain
26,27,Florence + the Machine,Spain
27,28,Major Lazer,Spain
28,29,Bon Iver,Spain
29,30,The xx,Spain
30,31,Ed Sheeran,Spain
31,32,Disclosure,Spain
32,33,Foo Fighters,Spain
33,34,Beck,Spain
34,35,Arctic Monkeys,Spain
35,36,Eminem,Spain
36,37,Adele,Spain
37,38,Elton John,Spain
38,39,OutKast,Spain
39,40,Childish Gambino,Spain
40,41,Beyoncé,Spain
41,42,Pink Floyd,Spain
42,43,Arcade Fire,Spain
43,44,blink-182,Spain
44,45,Led Zeppelin,Spain
45,46,Mark Ronson,Spain
46,47,alt-J,Spain
47,48,MGMT,Spain
48,49,Justin Bieber,Spain
49,50,Ariana Grande,Spain
