,rank,tags
0,1,rock
1,2,electronic
2,3,seen live
3,4,alternative
4,5,indie
5,6,pop
6,7,female vocalists
7,8,metal
8,9,alternative rock
9,10,jazz
10,11,classic rock
11,12,ambient
12,13,experimental
13,14,folk
14,15,punk
15,16,indie rock
16,17,hard rock
17,18,Hip-Hop
18,19,instrumental
19,20,singer-songwriter
20,21,black metal
21,22,dance
22,23,80s
23,24,Progressive rock
24,25,death metal
25,26,heavy metal
26,27,hardcore
27,28,british
28,29,soul
29,30,chillout
30,31,electronica
31,32,Classical
32,33,industrial
33,34,rap
34,35,Soundtrack
35,36,blues
36,37,punk rock
37,38,thrash metal
38,39,90s
39,40,acoustic
40,41,metalcore
41,42,psychedelic
42,43,japanese
43,44,post-rock
44,45,german
45,46,Progressive metal
46,47,hip hop
47,48,funk
48,49,new wave
49,50,trance
