,boringness,boringness_songs,country,songs_jordan,songs_spain,songs_switzerland
0,260.0,141700.0,Spain,,545.0,
1,240.0,125760.0,Spain,,524.0,
2,250.0,130500.0,Spain,,522.0,
3,230.0,103960.0,Spain,,452.0,
4,220.0,87560.0,Spain,,398.0,
5,210.0,83160.0,Spain,,396.0,
6,270.0,105030.0,Spain,,389.0,
7,280.0,98840.0,Spain,,353.0,
8,200.0,60600.0,Spain,,303.0,
9,190.0,48830.0,Spain,,257.0,
10,290.0,67860.0,Spain,,234.0,
11,300.0,48000.0,Spain,,160.0,
12,180.0,28080.0,Spain,,156.0,
13,170.0,22950.0,Spain,,135.0,
14,310.0,29450.0,Spain,,95.0,
15,160.0,13280.0,Spain,,83.0,
16,150.0,8550.0,Spain,,57.0,
17,320.0,17600.0,Spain,,55.0,
18,140.0,5600.0,Spain,,40.0,
19,130.0,3250.0,Spain,,25.0,
20,120.0,2520.0,Spain,,21.0,
21,330.0,6270.0,Spain,,19.0,
22,110.0,1100.0,Spain,,10.0,
23,340.0,3060.0,Spain,,9.0,
24,100.0,200.0,Spain,,2.0,
25,50.0,50.0,Spain,,1.0,
26,90.0,90.0,Spain,,1.0,
0,260.0,128700.0,,495.0,,
1,250.0,121000.0,,484.0,,
2,240.0,113760.0,,474.0,,
3,230.0,103040.0,,448.0,,
4,220.0,91080.0,,414.0,,
5,270.0,104760.0,,388.0,,
6,210.0,79800.0,,380.0,,
7,280.0,91000.0,,325.0,,
8,200.0,60200.0,,301.0,,
9,190.0,47500.0,,250.0,,
10,290.0,61190.0,,211.0,,
11,180.0,28980.0,,161.0,,
12,300.0,44700.0,,149.0,,
13,170.0,21250.0,,125.0,,
14,160.0,15840.0,,99.0,,
15,310.0,26970.0,,87.0,,
16,150.0,8550.0,,57.0,,
17,320.0,13440.0,,42.0,,
18,140.0,5460.0,,39.0,,
19,130.0,3250.0,,25.0,,
20,330.0,5280.0,,16.0,,
21,120.0,1440.0,,12.0,,
22,340.0,2720.0,,8.0,,
23,110.0,770.0,,7.0,,
24,50.0,50.0,,1.0,,
25,90.0,90.0,,1.0,,
0,260.0,112060.0,,,,431.0
1,250.0,102500.0,,,,410.0
2,230.0,94070.0,,,,409.0
3,240.0,95280.0,,,,397.0
4,210.0,74970.0,,,,357.0
5,220.0,77220.0,,,,351.0
6,270.0,88290.0,,,,327.0
7,200.0,57800.0,,,,289.0
8,280.0,76160.0,,,,272.0
9,190.0,43890.0,,,,231.0
10,180.0,30240.0,,,,168.0
11,290.0,45240.0,,,,156.0
12,170.0,24990.0,,,,147.0
13,160.0,16320.0,,,,102.0
14,300.0,26100.0,,,,87.0
15,150.0,11550.0,,,,77.0
16,310.0,18290.0,,,,59.0
17,140.0,7840.0,,,,56.0
18,320.0,10880.0,,,,34.0
19,130.0,4290.0,,,,33.0
20,120.0,3000.0,,,,25.0
21,330.0,4620.0,,,,14.0
22,110.0,1430.0,,,,13.0
23,100.0,400.0,,,,4.0
24,340.0,1360.0,,,,4.0
25,90.0,180.0,,,,2.0
26,50.0,50.0,,,,1.0
