,boringness,songs_spain,boringness_songs_x,songs_switzerland,boringness_songs_y
0,50,1,50.0,1,50.0
1,90,1,90.0,2,180.0
2,100,2,200.0,4,400.0
3,110,10,1100.0,13,1430.0
4,120,21,2520.0,25,3000.0
5,130,25,3250.0,33,4290.0
6,140,40,5600.0,56,7840.0
7,150,57,8550.0,77,11550.0
8,160,83,13280.0,102,16320.0
9,170,135,22950.0,147,24990.0
10,180,156,28080.0,168,30240.0
11,190,257,48830.0,231,43890.0
12,200,303,60600.0,289,57800.0
13,210,396,83160.0,357,74970.0
14,220,398,87560.0,351,77220.0
15,230,452,103960.0,409,94070.0
16,240,524,125760.0,397,95280.0
17,250,522,130500.0,410,102500.0
18,260,545,141700.0,431,112060.0
19,270,389,105030.0,327,88290.0
20,280,353,98840.0,272,76160.0
21,290,234,67860.0,156,45240.0
22,300,160,48000.0,87,26100.0
23,310,95,29450.0,59,18290.0
24,320,55,17600.0,34,10880.0
25,330,19,6270.0,14,4620.0
26,340,9,3060.0,4,1360.0
