,rank,artist,country
0,1,The Beatles,Cuba
1,2,Nirvana,Cuba
2,3,Daft Punk,Cuba
3,4,U2,Cuba
4,5,Sia,Cuba
5,6,Fleetwood Mac,Cuba
6,7,Justin Timberlake,Cuba
7,8,Elton John,Cuba
8,9,The Police,Cuba
9,10,Jason Derülo,Cuba
10,11,Cardi B,Cuba
11,12,Arctic Monkeys,Cuba
12,13,Coldplay,Cuba
13,14,Kanye West,Cuba
14,15,Lana Del Rey,Cuba
15,16,Red Hot Chili Peppers,Cuba
16,17,Eminem,Cuba
17,18,Ariana Grande,Cuba
18,19,The Killers,Cuba
19,20,Foo Fighters,Cuba
20,21,Arcade Fire,Cuba
21,22,Nine Inch Nails,Cuba
22,23,The Cure,Cuba
23,24,The Rolling Stones,Cuba
24,25,Queens of the Stone Age,Cuba
25,26,Pearl Jam,Cuba
26,27,The Doors,Cuba
27,28,Ed Sheeran,Cuba
28,29,The Smashing Pumpkins,Cuba
29,30,The Weeknd,Cuba
30,31,Marilyn Manson,Cuba
31,32,The White Stripes,Cuba
32,33,Weezer,Cuba
33,34,Black Sabbath,Cuba
34,35,David Guetta,Cuba
35,36,R.E.M.,Cuba
36,37,Rage Against the Machine,Cuba
37,38,Beastie Boys,Cuba
38,39,Selena Gomez,Cuba
39,40,Creedence Clearwater Revival,Cuba
40,41,Dua Lipa,Cuba
41,42,Disclosure,Cuba
42,43,Future,Cuba
43,44,The Chainsmokers,Cuba
44,45,Paul McCartney,Cuba
45,46,Fatboy Slim,Cuba
46,47,Lenny Kravitz,Cuba
47,48,Charlie Puth,Cuba
48,49,Rosalía,Cuba
49,50,The Jackson 5,Cuba
