,rank,artist,country
0,1,Coldplay,Netherlands
1,2,David Bowie,Netherlands
2,3,Queen,Netherlands
3,4,Radiohead,Netherlands
4,5,The Beatles,Netherlands
5,6,The Rolling Stones,Netherlands
6,7,Ed Sheeran,Netherlands
7,8,Fleetwood Mac,Netherlands
8,9,Red Hot Chili Peppers,Netherlands
9,10,Michael Jackson,Netherlands
10,11,Adele,Netherlands
11,12,Daft Punk,Netherlands
12,13,Calvin Harris,Netherlands
13,14,Muse,Netherlands
14,15,U2,Netherlands
15,16,The Weeknd,Netherlands
16,17,Rihanna,Netherlands
17,18,Major Lazer,Netherlands
18,19,Sia,Netherlands
19,20,Bruce Springsteen,Netherlands
20,21,Nirvana,Netherlands
21,22,Pink Floyd,Netherlands
22,23,John Mayer,Netherlands
23,24,Stevie Wonder,Netherlands
24,25,Johnny Cash,Netherlands
25,26,Arctic Monkeys,Netherlands
26,27,Foo Fighters,Netherlands
27,28,Bob Dylan,Netherlands
28,29,Drake,Netherlands
29,30,Dire Straits,Netherlands
30,31,Justin Bieber,Netherlands
31,32,Gorillaz,Netherlands
32,33,Marvin Gaye,Netherlands
33,34,Imagine Dragons,Netherlands
34,35,Elvis Presley,Netherlands
35,36,The Cure,Netherlands
36,37,Tame Impala,Netherlands
37,38,Kygo,Netherlands
38,39,Maroon 5,Netherlands
39,40,De Jeugd van Tegenwoordig,Netherlands
40,41,Mumford & Sons,Netherlands
41,42,David Guetta,Netherlands
42,43,R.E.M.,Netherlands
43,44,Justin Timberlake,Netherlands
44,45,Ariana Grande,Netherlands
45,46,Elton John,Netherlands
46,47,Avicii,Netherlands
47,48,Led Zeppelin,Netherlands
48,49,The Beach Boys,Netherlands
49,50,Kings of Leon,Netherlands
