,rank,artist,country
0,1,Justin Bieber,Zimbabwe
1,2,Daft Punk,Zimbabwe
2,3,David Guetta,Zimbabwe
3,4,Carly Rae Jepsen,Zimbabwe
4,5,Chris Brown,Zimbabwe
5,6,Wiz Khalifa,Zimbabwe
6,7,The Beatles,Zimbabwe
7,8,Radiohead,Zimbabwe
8,9,Coldplay,Zimbabwe
9,10,Muse,Zimbabwe
10,11,Lady Gaga,Zimbabwe
11,12,Kanye West,Zimbabwe
12,13,Lana Del Rey,Zimbabwe
13,14,Red Hot Chili Peppers,Zimbabwe
14,15,Ariana Grande,Zimbabwe
15,16,The Killers,Zimbabwe
16,17,Beyoncé,Zimbabwe
17,18,Paramore,Zimbabwe
18,19,Drake,Zimbabwe
19,20,Florence + the Machine,Zimbabwe
20,21,Katy Perry,Zimbabwe
21,22,Madonna,Zimbabwe
22,23,The Smiths,Zimbabwe
23,24,The Rolling Stones,Zimbabwe
24,25,Oasis,Zimbabwe
25,26,Queens of the Stone Age,Zimbabwe
26,27,Adele,Zimbabwe
27,28,Maroon 5,Zimbabwe
28,29,Ed Sheeran,Zimbabwe
29,30,The Weeknd,Zimbabwe
30,31,Avril Lavigne,Zimbabwe
31,32,Imagine Dragons,Zimbabwe
32,33,John Mayer,Zimbabwe
33,34,Modest Mouse,Zimbabwe
34,35,Mumford & Sons,Zimbabwe
35,36,Lorde,Zimbabwe
36,37,Weezer,Zimbabwe
37,38,Sia,Zimbabwe
38,39,Beck,Zimbabwe
39,40,Ellie Goulding,Zimbabwe
40,41,Mariah Carey,Zimbabwe
41,42,Nicki Minaj,Zimbabwe
42,43,Calvin Harris,Zimbabwe
43,44,Miley Cyrus,Zimbabwe
44,45,One Direction,Zimbabwe
45,46,Twenty One Pilots,Zimbabwe
46,47,Snow Patrol,Zimbabwe
47,48,P!nk,Zimbabwe
48,49,Elvis Presley,Zimbabwe
49,50,The Beach Boys,Zimbabwe
