;ID;ranking;artist_name;country_name;country_id;artist_id
0;1;1;Lana Del Rey;Jordan;112;2358
3;4;2;Pink Floyd;Jordan;112;11466
6;7;3;Queen;Jordan;112;11453
9;10;4;Coldplay;Jordan;112;8287
12;13;5;The Weeknd;Jordan;112;80
15;16;6;Sia;Jordan;112;1809
18;19;7;Eminem;Jordan;112;6305
21;22;8;David Bowie;Jordan;112;2497
24;25;9;Adele;Jordan;112;8266
27;28;10;Radiohead;Jordan;112;429
30;31;11;Metallica;Jordan;112;11462
31;32;12;The Rolling Stones;Jordan;112;11477
34;35;13;The Beatles;Jordan;112;11461
37;38;14;Ed Sheeran;Jordan;112;8250
40;41;15;Led Zeppelin;Jordan;112;11458
43;44;16;Red Hot Chili Peppers;Jordan;112;167
46;47;17;Rihanna;Jordan;112;37
49;50;18;Nirvana;Jordan;112;166
52;53;19;Tame Impala;Jordan;112;11464
54;55;20;Beyoncé;Jordan;112;47
56;57;21;Drake;Jordan;112;6298
59;60;22;Kendrick Lamar;Jordan;112;6313
61;62;23;Michael Jackson;Jordan;112;8262
64;65;24;Florence + The Machine;Jordan;112;458
67;68;25;Bob Dylan;Jordan;112;4029
69;70;26;Maroon 5;Jordan;112;8252
71;72;27;Imagine Dragons;Jordan;112;11510
73;74;28;Guns N' Roses;Jordan;112;11457
74;75;29;Lorde;Jordan;112;2353
76;77;30;Black Sabbath;Jordan;112;11471
77;78;31;Arctic Monkeys;Jordan;112;7630
79;80;32;Daft Punk;Jordan;112;2969
82;83;33;System Of A Down;Jordan;112;410
83;84;34;Kanye West;Jordan;112;7273
85;86;35;Taylor Swift;Jordan;112;1823
86;87;36;Ariana Grande;Jordan;112;1789
88;89;37;Gorillaz;Jordan;112;165
90;91;38;Katy Perry;Jordan;112;2350
91;92;39;The xx;Jordan;112;7662
94;95;40;AC/DC;Jordan;112;11494
96;97;41;Calvin Harris;Jordan;112;1804
99;100;42;Twenty One Pilots;Jordan;112;8270
100;101;43;Hozier;Jordan;112;3973
102;103;44;Fairuz;Jordan;112;14566
103;104;45;The Doors;Jordan;112;11486
104;105;46;Johnny Cash;Jordan;112;299
106;107;47;R.E.M.;Jordan;112;438
107;108;48;Frank Sinatra;Jordan;112;14567
108;109;49;Muse;Jordan;112;11455
110;111;50;Lady Gaga;Jordan;112;1795
