;ID;ranking;artist_name;country_name;country_id;artist_id
2;3;18;Lana Del Rey;Spain;206;2358
5;6;42;Pink Floyd;Spain;206;11466
8;9;7;Queen;Spain;206;11453
11;12;4;Coldplay;Spain;206;8287
14;15;10;The Weeknd;Spain;206;80
17;18;12;Sia;Spain;206;1809
20;21;36;Eminem;Spain;206;6305
23;24;2;David Bowie;Spain;206;2497
26;27;37;Adele;Spain;206;8266
29;30;1;Radiohead;Spain;206;429
33;34;24;The Rolling Stones;Spain;206;11477
36;37;8;The Beatles;Spain;206;11461
39;40;31;Ed Sheeran;Spain;206;8250
42;43;45;Led Zeppelin;Spain;206;11458
45;46;15;Red Hot Chili Peppers;Spain;206;167
48;49;22;Rihanna;Spain;206;37
51;52;21;Nirvana;Spain;206;166
53;54;5;Tame Impala;Spain;206;11464
55;56;41;Beyoncé;Spain;206;47
58;59;9;Drake;Spain;206;6298
60;61;11;Kendrick Lamar;Spain;206;6313
63;64;17;Michael Jackson;Spain;206;8262
66;67;27;Florence + The Machine;Spain;206;458
75;76;25;Lorde;Spain;206;2353
78;79;35;Arctic Monkeys;Spain;206;7630
81;82;6;Daft Punk;Spain;206;2969
84;85;3;Kanye West;Spain;206;7273
87;88;50;Ariana Grande;Spain;206;1789
89;90;19;Gorillaz;Spain;206;165
93;94;30;The xx;Spain;206;7662
98;99;16;Calvin Harris;Spain;206;1804
114;115;29;Bon Iver;Spain;206;3994
117;118;28;Major Lazer;Spain;206;2391
121;122;38;Elton John;Spain;206;11454
125;126;13;Fleetwood Mac;Spain;206;11491
130;131;47;alt-J;Spain;206;7632
134;135;34;Beck;Spain;206;490
137;138;14;Flume;Spain;206;2361
138;139;20;The Killers;Spain;206;7627
139;140;23;The Cure;Spain;206;2447
140;141;26;The Smashing Pumpkins;Spain;206;452
141;142;32;Disclosure;Spain;206;8327
142;143;33;Foo Fighters;Spain;206;403
143;144;39;OutKast;Spain;206;6352
144;145;40;Childish Gambino;Spain;206;6323
145;146;43;Arcade Fire;Spain;206;670
146;147;44;blink-182;Spain;206;8296
147;148;46;Mark Ronson;Spain;206;1800
148;149;48;MGMT;Spain;206;408
149;150;49;Justin Bieber;Spain;206;2335
