;ID;ranking;artist_name;country_name;country_id;artist_id
1;2;20;Lana Del Rey;Switzerland;213;2358
4;5;10;Pink Floyd;Switzerland;213;11466
7;8;2;Queen;Switzerland;213;11453
10;11;1;Coldplay;Switzerland;213;8287
13;14;26;The Weeknd;Switzerland;213;80
16;17;12;Sia;Switzerland;213;1809
19;20;32;Eminem;Switzerland;213;6305
22;23;3;David Bowie;Switzerland;213;2497
25;26;7;Adele;Switzerland;213;8266
28;29;5;Radiohead;Switzerland;213;429
32;33;8;The Rolling Stones;Switzerland;213;11477
35;36;4;The Beatles;Switzerland;213;11461
38;39;6;Ed Sheeran;Switzerland;213;8250
41;42;31;Led Zeppelin;Switzerland;213;11458
44;45;9;Red Hot Chili Peppers;Switzerland;213;167
47;48;21;Rihanna;Switzerland;213;37
50;51;17;Nirvana;Switzerland;213;166
57;58;36;Drake;Switzerland;213;6298
62;63;11;Michael Jackson;Switzerland;213;8262
65;66;27;Florence + The Machine;Switzerland;213;458
68;69;14;Bob Dylan;Switzerland;213;4029
70;71;43;Maroon 5;Switzerland;213;8252
72;73;18;Imagine Dragons;Switzerland;213;11510
80;81;15;Daft Punk;Switzerland;213;2969
92;93;25;The xx;Switzerland;213;7662
95;96;49;AC/DC;Switzerland;213;11494
97;98;19;Calvin Harris;Switzerland;213;1804
101;102;40;Hozier;Switzerland;213;3973
105;106;23;Johnny Cash;Switzerland;213;299
109;110;13;Muse;Switzerland;213;11455
111;112;16;U2;Switzerland;213;11490
112;113;22;Stevie Wonder;Switzerland;213;13281
113;114;24;Bon Iver;Switzerland;213;3994
115;116;28;Mumford & Sons;Switzerland;213;14565
116;117;29;Major Lazer;Switzerland;213;2391
118;119;30;Marvin Gaye;Switzerland;213;13271
119;120;33;Elvis Presley;Switzerland;213;11492
120;121;34;Elton John;Switzerland;213;11454
122;123;35;Bruce Springsteen;Switzerland;213;11519
123;124;37;Kygo;Switzerland;213;8257
124;125;38;Fleetwood Mac;Switzerland;213;11491
126;127;39;Moby;Switzerland;213;2998
127;128;41;Avicii;Switzerland;213;2302
128;129;42;Depeche Mode;Switzerland;213;2572
129;130;44;alt-J;Switzerland;213;7632
131;132;45;Massive Attack;Switzerland;213;2980
132;133;46;Simon & Garfunkel;Switzerland;213;3982
133;134;47;Beck;Switzerland;213;490
135;136;48;Aretha Franklin;Switzerland;213;4705
136;137;50;David Guetta;Switzerland;213;1816
