;genre_name;number_tracks;percentage
0;Alternative;796;0.08512458560581757
1;Blues;117;0.012512030798845043
2;Children's Music;601;0.06427120094107582
3;Country;109;0.011656507325419741
4;Dance;872;0.09325205860335793
5;Electronic;372;0.03978184151427655
6;Folk;673;0.07197091220190353
7;Hip-Hop;771;0.08245107475136348
8;Indie;424;0.04534274409154101
9;Jazz;101;0.010800983851994439
10;Pop;1450;0.155063629558336
11;R&B;414;0.04427333974975938
12;Rap;954;0.10202117420596728
13;Rock;1391;0.1487541439418244
14;Soul;306;0.032723772858517804
