,track_id,track_name,artist_name,release_date,danceability,energy,valence,tempo,duration_ms
0,5Ev2fiI6U3EEbBF96SOHbL,Gone Are the Days,HONNE,2015-11-24,0.404,0.778,0.423,110.096,282248
1,13hQj3kA6hLlKR9fBK9wCq,All the Rest Is Noise,FRMTN,2015-10-06,0.805,0.717,0.666,105.027,185228
2,2vDT1uU6hZgdp3PbWGr0Xy,7 Years,Lukas Graham,2015-10-22,0.765,0.473,0.34,119.992,237300
3,3EnlxByzIMGwThUjyP4WfB,I Was Wrong,A R I Z O N A,2015-08-07,0.826,0.502,0.561,118.015,216386
4,4ncFRft2xEs4kanULQjaOz,Lyk U Use 2 (feat. Andres),Moodymann,2014-01-27,0.621,0.485,0.14,183.391,343000
5,2BSDAVUzzQP7wpvcDybmsP,Lonesome Street,Blur,2015-04-24,0.661,0.932,0.379,101.012,262720
6,3Ecu5y2OeFvKbp2q8k9FFD,Lesson 1,L'Equipe Du Son,2012-04-23,0.818,0.671,0.178,110.001,325474
7,4Xmi5NF1gh6ACPO5fX9HbQ,Girls Just Want to Have Fun,STRFKR,2012-01-10,0.757,0.701,0.739,120.005,187853
8,1rnhEFrn86ZZlQoMNuZeMd,Fast Lane,Rationale,2015-08-21,0.762,0.583,0.595,95.983,155000
9,0IOFbRuU9O7BsRMVBT6Rbo,Ophelia,The Lumineers,2016-02-05,0.664,0.576,0.621,76.026,160097
10,4EBisBBehGON4ESJsNZBsP,Wildcat,Ratatat,2006-08-22,0.703,0.718,0.785,115.993,260173
11,4cVzPbPsYsfQD5JLszLoV6,Move,NOËP,2015-11-06,0.71,0.364,0.222,129.994,188308
12,0nypsuS2jtogLaJDcRQ4Ya,Feel the Love,Rudimental,2012-05-14,0.389,0.706,0.238,179.911,245187
13,27c1BWrqdACcBQ6DnlSQQi,Gopher,Yma Sumac,2007-09-22,0.602,0.419,0.893,153.412,137239
14,6hph3AtlYSki64xnAPIfi6,Kings of Summer,ayokay,2015-07-23,0.704,0.604,0.135,134.999,222695
15,1PchfarnjfYIwLhMtzyoa6,Falling,HAIM,2013-01-01,0.756,0.928,0.33,111.992,258746
16,5vLgVfFdJNhXMUTTvHMIOA,"Jimmy, Renda se",Daniel Pemberton,2015-08-07,0.534,0.769,0.276,104.728,219227
